username,embedding
111,"-0.7501031160354614,-1.5903900861740112,1.1935067176818848,1.14543879032135,-0.2716056704521179,1.647680640220642,0.3013099431991577,-2.362727403640747,-0.6753848791122437,2.146233558654785,-1.9121122360229492,-3.5906155109405518,-1.747817039489746,0.374236524105072,0.17274075746536255,-1.618932843208313,1.248443841934204,-0.022325262427330017,-3.4103517532348633,-3.2627837657928467,-2.145331621170044,-0.05599778890609741,-2.2382380962371826,-1.1774437427520752,0.6216075420379639,1.2964035272598267,0.42745107412338257,3.132683277130127,2.878412961959839,4.181244373321533,-1.21797776222229,0.692060649394989,-0.012137040495872498,2.15840744972229,2.731511354446411,-1.8945960998535156,4.185566425323486,-1.64297354221344,2.4926421642303467,1.2116615772247314,-0.4918033480644226,2.0888352394104004,3.9951837062835693,-1.38369619846344,-0.02724188193678856,0.20250679552555084,0.8767963647842407,1.2492284774780273,1.1629607677459717,-0.05276913195848465,1.3529518842697144,3.7181129455566406,-2.6128010749816895,-0.24868421256542206,-0.8602122068405151,1.5120799541473389,-0.7384622097015381,0.8616957664489746,-0.5806516408920288,0.28805726766586304,1.8533436059951782,3.10122013092041,2.7181458473205566,0.5753111839294434,0.6698007583618164,0.4903106093406677,-2.568960666656494,-2.4779841899871826,1.4205193519592285,-2.0048367977142334,-0.73054438829422,-0.8944531679153442,1.1715954542160034,0.5517712235450745,-0.8538124561309814,0.7324079871177673,2.440791368484497,-0.4181365370750427,0.3561130166053772,-1.9397419691085815,1.0933196544647217,0.8522956371307373,1.4736689329147339,-2.615278720855713,-0.2689645290374756,-0.2998805046081543,-0.39659011363983154,-0.8848238587379456,1.0976101160049438,-0.321170449256897,-2.5026023387908936,1.4296292066574097,-0.7316560745239258,-2.7504324913024902,3.405895709991455,-0.8750851154327393,0.7548244595527649,0.15156427025794983,-1.8022149801254272,-3.91810941696167,0.8504387736320496,-0.5797857642173767,2.5967395305633545,-0.7866935133934021,1.9114407300949097,0.08746682852506638,0.8423851728439331,0.8427114486694336,0.30731773376464844,-1.2907439470291138,-3.579345703125,0.008123720064759254,-1.8696715831756592,2.1283926963806152,-1.9227827787399292,-1.5077780485153198,1.828842043876648,-2.180065155029297,0.815969705581665,0.745164692401886,-1.5663707256317139,0.9576895236968994,1.7599300146102905,1.278887152671814,-0.010373562574386597,1.4786561727523804,-1.2708220481872559,1.0843440294265747,1.4001392126083374,1.038088083267212,-0.6854922771453857,1.1598591804504395,0.06166664510965347,-0.6456469893455505,1.4658995866775513,1.3300809860229492,0.7786884903907776,-0.8893793821334839,1.392598271369934,2.629335641860962,-1.5666402578353882,-1.3013787269592285,-2.8200979232788086,3.9085938930511475,-0.7083993554115295,-0.817727267742157,0.07036774605512619,-3.0268170833587646,1.0064823627471924,0.6706215739250183,1.69157075881958,0.7288834452629089,3.1494431495666504,-2.27048921585083,0.39682072401046753,-1.5789529085159302,0.14346730709075928,-0.09253205358982086,0.5236088633537292,-2.5931363105773926,0.2501297891139984,-1.2021024227142334,-1.4641811847686768,-3.3824551105499268,0.9568198919296265,-1.8696902990341187,-0.9842551350593567,3.856703042984009,-0.39011210203170776,-1.336322546005249,-2.530710220336914,2.499469518661499,0.39483723044395447,2.5019259452819824,1.0282212495803833,-0.14555758237838745,1.614159107208252,0.047533415257930756,1.276860237121582,0.26348239183425903,0.6665371656417847,3.118973731994629,0.7819076776504517,0.0898611769080162,0.4894947409629822,-3.8694517612457275,-1.0948081016540527,-0.49193090200424194,0.6841718554496765,-0.7905282378196716,3.4429523944854736,0.11737863719463348"
111,"-0.19813713431358337,-1.8046891689300537,0.99454265832901,1.1128541231155396,0.026433289051055908,0.2960517406463623,-0.15711116790771484,-2.345607280731201,-1.1847673654556274,1.100486159324646,-2.5451107025146484,-3.2144739627838135,-0.6868499517440796,-0.6062135100364685,0.6012515425682068,-1.2913625240325928,0.7531986236572266,-1.3336018323898315,-2.9071362018585205,-1.5357346534729004,-0.8527412414550781,0.6974865198135376,-1.8371717929840088,0.012307245284318924,1.3907172679901123,0.42294806241989136,1.0773897171020508,2.868940591812134,1.2127020359039307,4.2079758644104,-0.32812929153442383,-0.20728451013565063,-1.0131449699401855,3.975578784942627,2.6207988262176514,-0.4366738200187683,4.35434103012085,-2.1745285987854004,1.5826430320739746,1.6371172666549683,-1.0684208869934082,2.273937225341797,3.3189070224761963,-2.0363335609436035,0.07355988025665283,1.2998872995376587,1.4008795022964478,0.7790906429290771,0.525615930557251,-0.7153473496437073,1.3827320337295532,4.800652027130127,-1.961798071861267,0.7823498249053955,0.7116680145263672,1.7528645992279053,-1.644499659538269,0.10613270848989487,-1.5586436986923218,-0.6105929613113403,1.2160242795944214,0.1484941691160202,2.0695295333862305,0.4797379970550537,1.6946310997009277,-1.54725182056427,-2.5409111976623535,-2.07450532913208,0.9992156028747559,-2.2767155170440674,-1.436799168586731,-2.0065653324127197,1.455780267715454,1.6194162368774414,0.5580663681030273,-0.02023503929376602,2.458204984664917,-1.7641942501068115,1.039119839668274,-1.3928908109664917,0.7547229528427124,2.109015464782715,0.6977818608283997,-2.094688892364502,-0.36159831285476685,-1.5704920291900635,-1.2727006673812866,0.17744752764701843,2.709756851196289,-2.0547091960906982,-3.4505045413970947,1.5559136867523193,0.9688647985458374,-2.100086212158203,1.9394645690917969,0.15331877768039703,0.4984526038169861,0.27907708287239075,-1.3538930416107178,-1.967039942741394,1.5406826734542847,-0.3861229419708252,1.7063175439834595,-0.04140198975801468,0.8873118162155151,0.3971317708492279,-0.9558210372924805,0.9776203632354736,0.4483017325401306,-1.7166469097137451,-3.1338272094726562,0.004188353195786476,-1.4495251178741455,2.579899549484253,-1.8045284748077393,-1.594612956047058,3.245501756668091,-0.04302864894270897,0.28349876403808594,1.5120346546173096,-0.26181092858314514,0.7791736721992493,1.481496810913086,1.8765209913253784,0.5400155186653137,1.117476224899292,-0.4606616795063019,1.0800329446792603,1.4012374877929688,0.3583069145679474,0.42031529545783997,0.9993125796318054,-0.4076862633228302,0.08220211416482925,-0.25725820660591125,1.6542062759399414,2.084348440170288,-0.5354154109954834,0.44732537865638733,1.7250895500183105,-0.7206451892852783,-1.0240013599395752,-2.9312548637390137,3.1644203662872314,1.329656958580017,0.11622480303049088,1.0011358261108398,-4.629827976226807,1.8158884048461914,-0.20634467899799347,0.4101501703262329,0.4154936969280243,2.397110939025879,-2.0281808376312256,0.18148618936538696,0.18748532235622406,0.7024773955345154,-1.2840614318847656,0.3882285952568054,-3.1177978515625,0.48179712891578674,-2.127017021179199,-1.0971966981887817,-1.6730362176895142,-0.33645668625831604,-0.5934420228004456,-0.748078465461731,3.3813464641571045,-0.9380986094474792,-0.4605564773082733,-3.207310676574707,1.5175532102584839,0.19275106489658356,2.8655011653900146,0.9360526204109192,-1.1921554803848267,2.134087562561035,-0.43314534425735474,0.6788126826286316,0.14769567549228668,0.7991036176681519,3.6191956996917725,1.4235904216766357,-0.15182945132255554,0.4092026650905609,-2.785393238067627,-0.6006981730461121,-0.8163547515869141,0.40601804852485657,-0.9291486144065857,3.913015127182007,-0.1520683765411377"
222,"-0.19813713431358337,-1.8046891689300537,0.99454265832901,1.1128541231155396,0.026433289051055908,0.2960517406463623,-0.15711116790771484,-2.345607280731201,-1.1847673654556274,1.100486159324646,-2.5451107025146484,-3.2144739627838135,-0.6868499517440796,-0.6062135100364685,0.6012515425682068,-1.2913625240325928,0.7531986236572266,-1.3336018323898315,-2.9071362018585205,-1.5357346534729004,-0.8527412414550781,0.6974865198135376,-1.8371717929840088,0.012307245284318924,1.3907172679901123,0.42294806241989136,1.0773897171020508,2.868940591812134,1.2127020359039307,4.2079758644104,-0.32812929153442383,-0.20728451013565063,-1.0131449699401855,3.975578784942627,2.6207988262176514,-0.4366738200187683,4.35434103012085,-2.1745285987854004,1.5826430320739746,1.6371172666549683,-1.0684208869934082,2.273937225341797,3.3189070224761963,-2.0363335609436035,0.07355988025665283,1.2998872995376587,1.4008795022964478,0.7790906429290771,0.525615930557251,-0.7153473496437073,1.3827320337295532,4.800652027130127,-1.961798071861267,0.7823498249053955,0.7116680145263672,1.7528645992279053,-1.644499659538269,0.10613270848989487,-1.5586436986923218,-0.6105929613113403,1.2160242795944214,0.1484941691160202,2.0695295333862305,0.4797379970550537,1.6946310997009277,-1.54725182056427,-2.5409111976623535,-2.07450532913208,0.9992156028747559,-2.2767155170440674,-1.436799168586731,-2.0065653324127197,1.455780267715454,1.6194162368774414,0.5580663681030273,-0.02023503929376602,2.458204984664917,-1.7641942501068115,1.039119839668274,-1.3928908109664917,0.7547229528427124,2.109015464782715,0.6977818608283997,-2.094688892364502,-0.36159831285476685,-1.5704920291900635,-1.2727006673812866,0.17744752764701843,2.709756851196289,-2.0547091960906982,-3.4505045413970947,1.5559136867523193,0.9688647985458374,-2.100086212158203,1.9394645690917969,0.15331877768039703,0.4984526038169861,0.27907708287239075,-1.3538930416107178,-1.967039942741394,1.5406826734542847,-0.3861229419708252,1.7063175439834595,-0.04140198975801468,0.8873118162155151,0.3971317708492279,-0.9558210372924805,0.9776203632354736,0.4483017325401306,-1.7166469097137451,-3.1338272094726562,0.004188353195786476,-1.4495251178741455,2.579899549484253,-1.8045284748077393,-1.594612956047058,3.245501756668091,-0.04302864894270897,0.28349876403808594,1.5120346546173096,-0.26181092858314514,0.7791736721992493,1.481496810913086,1.8765209913253784,0.5400155186653137,1.117476224899292,-0.4606616795063019,1.0800329446792603,1.4012374877929688,0.3583069145679474,0.42031529545783997,0.9993125796318054,-0.4076862633228302,0.08220211416482925,-0.25725820660591125,1.6542062759399414,2.084348440170288,-0.5354154109954834,0.44732537865638733,1.7250895500183105,-0.7206451892852783,-1.0240013599395752,-2.9312548637390137,3.1644203662872314,1.329656958580017,0.11622480303049088,1.0011358261108398,-4.629827976226807,1.8158884048461914,-0.20634467899799347,0.4101501703262329,0.4154936969280243,2.397110939025879,-2.0281808376312256,0.18148618936538696,0.18748532235622406,0.7024773955345154,-1.2840614318847656,0.3882285952568054,-3.1177978515625,0.48179712891578674,-2.127017021179199,-1.0971966981887817,-1.6730362176895142,-0.33645668625831604,-0.5934420228004456,-0.748078465461731,3.3813464641571045,-0.9380986094474792,-0.4605564773082733,-3.207310676574707,1.5175532102584839,0.19275106489658356,2.8655011653900146,0.9360526204109192,-1.1921554803848267,2.134087562561035,-0.43314534425735474,0.6788126826286316,0.14769567549228668,0.7991036176681519,3.6191956996917725,1.4235904216766357,-0.15182945132255554,0.4092026650905609,-2.785393238067627,-0.6006981730461121,-0.8163547515869141,0.40601804852485657,-0.9291486144065857,3.913015127182007,-0.1520683765411377"
